timestamp,symbol,bid,ask,last,volume
0.0,DEMO,99.8577,99.8976,99.8777,9.32
1.0,DEMO,99.8954,99.9354,99.9154,5.19
2.0,DEMO,99.7627,99.8026,99.7827,2.66
3.0,DEMO,99.7562,99.7961,99.7762,5.61
4.0,DEMO,99.635,99.6748,99.6549,1.85
5.0,DEMO,99.5062,99.5461,99.5262,3.73
6.0,DEMO,99.659,99.6989,99.6789,7.24
7.0,DEMO,99.7569,99.7969,99.7769,1.38
8.0,DEMO,100.0137,100.0537,100.0337,6.89
9.0,DEMO,99.9848,100.0248,100.0048,6.54
10.0,DEMO,99.9944,100.0344,100.0144,5.76
11.0,DEMO,100.0089,100.0489,100.0289,1.54
12.0,DEMO,100.0362,100.0762,100.0562,1.27
13.0,DEMO,100.1055,100.1456,100.1255,5.18
14.0,DEMO,99.9265,99.9665,99.9465,5.67
15.0,DEMO,99.9966,100.0366,100.0166,6.76
16.0,DEMO,99.8494,99.8893,99.8694,5.12
17.0,DEMO,99.8496,99.8895,99.8696,3.5
18.0,DEMO,100.1797,100.2197,100.1997,8.56
19.0,DEMO,100.1748,100.2149,100.1948,7.37
20.0,DEMO,100.1459,100.186,100.166,3.6
21.0,DEMO,100.2123,100.2524,100.2324,1.63
22.0,DEMO,100.2227,100.2628,100.2427,8.62
23.0,DEMO,100.1219,100.1619,100.1419,4.48
24.0,DEMO,100.3095,100.3496,100.3295,1.0
25.0,DEMO,100.2588,100.2989,100.2789,2.89
26.0,DEMO,100.3543,100.3945,100.3744,9.82
27.0,DEMO,100.2939,100.334,100.314,4.58
28.0,DEMO,100.4207,100.4609,100.4408,8.01
29.0,DEMO,100.4834,100.5236,100.5035,3.43
30.0,DEMO,100.5606,100.6008,100.5807,9.68
31.0,DEMO,100.6077,100.6479,100.6278,7.82
32.0,DEMO,100.6635,100.7038,100.6836,1.91
33.0,DEMO,100.7146,100.7549,100.7348,1.54
34.0,DEMO,100.733,100.7733,100.7531,6.03
35.0,DEMO,100.6727,100.713,100.6929,5.03
36.0,DEMO,100.7322,100.7725,100.7524,2.18
37.0,DEMO,100.8846,100.9249,100.9047,6.79
38.0,DEMO,100.963,101.0034,100.9832,2.92
39.0,DEMO,101.0336,101.074,101.0538,3.43
40.0,DEMO,101.2129,101.2534,101.2332,3.74
41.0,DEMO,101.1798,101.2202,101.2,8.96
42.0,DEMO,101.2045,101.245,101.2248,8.69
43.0,DEMO,101.3028,101.3434,101.3231,6.78
44.0,DEMO,101.5497,101.5903,101.57,2.92
45.0,DEMO,101.7302,101.7709,101.7505,3.32
46.0,DEMO,101.7431,101.7838,101.7634,3.67
47.0,DEMO,101.6531,101.6938,101.6735,1.66
48.0,DEMO,101.7666,101.8073,101.787,3.19
49.0,DEMO,101.8388,101.8796,101.8592,6.41
50.0,DEMO,101.7614,101.8021,101.7818,9.63
51.0,DEMO,101.8421,101.8829,101.8625,5.35
52.0,DEMO,101.6599,101.7006,101.6803,2.65
53.0,DEMO,101.5678,101.6085,101.5881,2.39
54.0,DEMO,101.7252,101.7659,101.7455,3.25
55.0,DEMO,101.6231,101.6638,101.6434,2.71
56.0,DEMO,101.6071,101.6477,101.6274,2.77
57.0,DEMO,101.3666,101.4071,101.3869,9.55
58.0,DEMO,101.4684,101.509,101.4887,4.79
59.0,DEMO,101.3754,101.4159,101.3957,1.93
60.0,DEMO,101.628,101.6687,101.6484,3.15
61.0,DEMO,101.6908,101.7315,101.7111,7.34
62.0,DEMO,101.6825,101.7232,101.7028,6.37
63.0,DEMO,101.8719,101.9127,101.8923,3.64
64.0,DEMO,101.9454,101.9862,101.9658,1.62
65.0,DEMO,102.0907,102.1315,102.1111,3.06
66.0,DEMO,101.9049,101.9457,101.9253,6.53
67.0,DEMO,101.8323,101.873,101.8527,3.52
68.0,DEMO,101.892,101.9328,101.9124,1.15
69.0,DEMO,101.8579,101.8986,101.8782,3.42
70.0,DEMO,101.824,101.8647,101.8443,2.59
71.0,DEMO,101.836,101.8768,101.8564,4.32
72.0,DEMO,101.7874,101.8281,101.8078,4.26
73.0,DEMO,101.7637,101.8044,101.7841,9.02
74.0,DEMO,101.9116,101.9523,101.9319,7.22
75.0,DEMO,101.8933,101.9341,101.9137,6.26
76.0,DEMO,101.9106,101.9514,101.931,1.16
77.0,DEMO,101.9317,101.9725,101.9521,9.19
78.0,DEMO,101.8524,101.8932,101.8728,1.19
79.0,DEMO,101.6037,101.6444,101.6241,6.73
80.0,DEMO,101.4403,101.4809,101.4606,3.87
81.0,DEMO,101.4586,101.4992,101.4789,9.99
82.0,DEMO,101.5722,101.6129,101.5926,7.63
83.0,DEMO,101.6304,101.6711,101.6507,9.1
84.0,DEMO,101.6176,101.6582,101.6379,8.14
85.0,DEMO,101.4597,101.5003,101.48,9.24
86.0,DEMO,101.3676,101.4082,101.3879,9.11
87.0,DEMO,101.4913,101.532,101.5116,8.84
88.0,DEMO,101.3358,101.3763,101.3561,8.77
89.0,DEMO,101.4249,101.4655,101.4452,6.16
90.0,DEMO,101.3545,101.3951,101.3748,6.24
91.0,DEMO,101.2842,101.3248,101.3045,6.48
92.0,DEMO,101.411,101.4516,101.4313,9.94
93.0,DEMO,101.481,101.5216,101.5013,8.92
94.0,DEMO,101.4672,101.5078,101.4875,7.62
95.0,DEMO,101.3676,101.4081,101.3879,6.23
96.0,DEMO,101.1876,101.2281,101.2078,1.75
97.0,DEMO,101.2581,101.2986,101.2784,7.75
98.0,DEMO,101.3931,101.4337,101.4134,5.33
99.0,DEMO,101.4187,101.4593,101.439,3.07
100.0,DEMO,101.3808,101.4214,101.4011,6.53
101.0,DEMO,101.2682,101.3087,101.2884,9.28
102.0,DEMO,101.2676,101.3081,101.2879,3.71
103.0,DEMO,101.2829,101.3234,101.3031,7.1
104.0,DEMO,101.301,101.3415,101.3213,9.15
105.0,DEMO,101.3601,101.4006,101.3803,6.94
106.0,DEMO,101.1606,101.2011,101.1808,3.94
107.0,DEMO,101.2367,101.2772,101.257,6.99
108.0,DEMO,101.2709,101.3114,101.2912,8.25
109.0,DEMO,101.3729,101.4135,101.3932,9.23
110.0,DEMO,101.4459,101.4864,101.4661,6.25
111.0,DEMO,101.3776,101.4182,101.3979,3.85
112.0,DEMO,101.4555,101.4961,101.4758,8.53
113.0,DEMO,101.5453,101.5859,101.5656,8.64
114.0,DEMO,101.4853,101.5259,101.5056,3.49
115.0,DEMO,101.2445,101.285,101.2648,2.52
116.0,DEMO,101.1672,101.2077,101.1874,2.93
117.0,DEMO,101.192,101.2325,101.2122,4.73
118.0,DEMO,101.1089,101.1493,101.1291,3.84
119.0,DEMO,101.0251,101.0655,101.0453,8.55
120.0,DEMO,101.1353,101.1758,101.1556,1.67
121.0,DEMO,101.1228,101.1633,101.1431,1.28
122.0,DEMO,101.1434,101.1838,101.1636,7.38
123.0,DEMO,101.1223,101.1627,101.1425,6.14
124.0,DEMO,101.0574,101.0978,101.0776,1.17
125.0,DEMO,101.2243,101.2648,101.2446,2.22
126.0,DEMO,101.2026,101.2431,101.2228,8.47
127.0,DEMO,101.2089,101.2494,101.2292,3.14
128.0,DEMO,101.2288,101.2693,101.249,6.66
129.0,DEMO,101.2531,101.2936,101.2733,5.02
130.0,DEMO,101.152,101.1925,101.1722,8.27
131.0,DEMO,101.0445,101.0849,101.0647,9.63
132.0,DEMO,101.0175,101.0579,101.0377,5.28
133.0,DEMO,100.9558,100.9962,100.976,2.61
134.0,DEMO,101.0698,101.1102,101.09,7.43
135.0,DEMO,101.0775,101.1179,101.0977,2.61
136.0,DEMO,101.0644,101.1049,101.0847,7.28
137.0,DEMO,101.1567,101.1971,101.1769,5.68
138.0,DEMO,101.0289,101.0693,101.0491,4.54
139.0,DEMO,100.9171,100.9575,100.9373,8.13
140.0,DEMO,100.953,100.9934,100.9732,9.39
141.0,DEMO,100.929,100.9694,100.9492,7.5
142.0,DEMO,101.005,101.0454,101.0252,6.63
143.0,DEMO,101.086,101.1264,101.1062,9.19
144.0,DEMO,100.9923,101.0327,101.0125,8.91
145.0,DEMO,101.0839,101.1243,101.1041,8.17
146.0,DEMO,101.1899,101.2304,101.2102,6.86
147.0,DEMO,101.1512,101.1916,101.1714,2.84
148.0,DEMO,101.1184,101.1589,101.1386,6.77
149.0,DEMO,100.9347,100.9751,100.9549,7.46
150.0,DEMO,100.9842,101.0246,101.0044,9.82
151.0,DEMO,101.1954,101.2359,101.2156,9.8
152.0,DEMO,101.0214,101.0618,101.0416,3.88
153.0,DEMO,100.9802,101.0206,101.0004,9.19
154.0,DEMO,101.0379,101.0783,101.0581,1.74
155.0,DEMO,100.9643,101.0047,100.9845,4.97
156.0,DEMO,100.8004,100.8407,100.8205,5.39
157.0,DEMO,100.7468,100.7871,100.767,1.26
158.0,DEMO,100.7601,100.8004,100.7803,8.2
159.0,DEMO,100.726,100.7663,100.7461,2.56
160.0,DEMO,100.6357,100.676,100.6558,2.26
161.0,DEMO,100.7884,100.8287,100.8085,2.34
162.0,DEMO,100.6277,100.668,100.6479,8.56
163.0,DEMO,100.611,100.6513,100.6311,7.2
164.0,DEMO,100.7215,100.7618,100.7417,9.54
165.0,DEMO,100.6823,100.7226,100.7024,1.77
166.0,DEMO,100.7043,100.7446,100.7244,3.61
167.0,DEMO,100.8256,100.8659,100.8457,7.56
168.0,DEMO,100.7468,100.7871,100.7669,8.59
169.0,DEMO,100.6529,100.6932,100.6731,6.04
170.0,DEMO,100.6157,100.6559,100.6358,8.61
171.0,DEMO,100.707,100.7473,100.7271,9.1
172.0,DEMO,100.7579,100.7982,100.7781,9.72
173.0,DEMO,100.9479,100.9883,100.9681,5.72
174.0,DEMO,100.8873,100.9277,100.9075,5.82
175.0,DEMO,100.8574,100.8977,100.8776,5.53
176.0,DEMO,100.8385,100.8788,100.8587,9.72
177.0,DEMO,100.8238,100.8641,100.844,5.64
178.0,DEMO,100.6769,100.7172,100.6971,6.07
179.0,DEMO,100.7828,100.8231,100.803,5.42
180.0,DEMO,100.7693,100.8096,100.7895,5.85
181.0,DEMO,100.7346,100.7749,100.7548,4.72
182.0,DEMO,100.9549,100.9953,100.9751,3.42
183.0,DEMO,100.8937,100.934,100.9138,5.26
184.0,DEMO,100.9688,101.0092,100.989,8.34
185.0,DEMO,101.0459,101.0863,101.0661,9.1
186.0,DEMO,100.9586,100.999,100.9788,2.72
187.0,DEMO,100.9716,101.012,100.9918,6.56
188.0,DEMO,101.019,101.0594,101.0392,8.01
189.0,DEMO,100.995,101.0354,101.0152,1.21
190.0,DEMO,101.0199,101.0603,101.0401,7.18
191.0,DEMO,101.088,101.1285,101.1083,3.9
192.0,DEMO,101.0017,101.0421,101.0219,1.94
193.0,DEMO,101.1125,101.153,101.1328,7.58
194.0,DEMO,101.1992,101.2397,101.2195,3.25
195.0,DEMO,101.2836,101.3241,101.3038,2.78
196.0,DEMO,101.1771,101.2176,101.1973,4.38
197.0,DEMO,101.1565,101.197,101.1768,4.72
198.0,DEMO,101.0979,101.1383,101.1181,2.84
199.0,DEMO,101.0869,101.1274,101.1072,6.68
